field_name,source_dataset,data_type,description,transformation,business_meaning
aadhaar_masked,track1_kyc_records.csv,VARCHAR,Masked 12-digit Aadhaar UID,Digits masked (XXXXXXXX0000) for UI/display,National identity masked for privacy governance
monthly_income,track1_kyc_records.csv,DOUBLE,Declared customer monthly earnings,Parsed k-notation and currency symbols,Financial capacity benchmark for velocity checks
kyc_status,track1_kyc_records.csv,VARCHAR,KYC compliance verification status,Mapped raw statuses to VERIFIED PENDING REJECTED,Account validation and AML risk tier
conflict_group_id,track1_kyc_records.csv / track1_merchants_master.csv,VARCHAR,Deduplication group identifier,Deterministic hash of business key,Entity deduplication lineage
conflict_flag,track1_kyc_records.csv / track1_merchants_master.csv,BOOLEAN,Flag indicating multiple conflicting profiles,Duplicate key occurrence check,Entity collision indicator
canonical_record_flag,track1_kyc_records.csv / track1_merchants_master.csv,BOOLEAN,Flag for surviving canonical profile,Latest signup/onboarding timestamp rule,Master entity survivorship flag
merchant_name,track1_merchants_master.csv,VARCHAR,Business trading name,Trimmed and title-cased,Registered merchant identity
merchant_category,track1_merchants_master.csv,VARCHAR,Business industry sector,Standardized category names,Sector risk segmentation
business_type,track1_merchants_master.csv,VARCHAR,Legal entity structure,Mapped to INDIVIDUAL SOLE_PROPRIETOR PARTNERSHIP PRIVATE_LIMITED,Ownership and compliance structure
settlement_account,track1_merchants_master.csv,VARCHAR,Bank settlement account number,Trimmed and uppercased,Bank account where merchant funds are settled
is_shared_settlement_hub,track1_merchants_master.csv,BOOLEAN,Flag indicating shared settlement account,Cross-merchant frequency count (>1),Merchant collusion / money-pooling hub signal
declared_avg_ticket_size,track1_merchants_master.csv,DOUBLE,Declared expected transaction size,Cleaned currency with signed retention,Baseline ticket size for surge anomaly detection
complaint_id,track1_chargebacks.json,VARCHAR,Unique dispute complaint identifier,Standardized to CBK000XXXX,Primary key for chargeback dispute
disputed_amount_clean,track1_chargebacks.json,DOUBLE,Claimed disputed chargeback value,Parsed currency preserving true NULLs without imputation,Financial loss exposure in dispute
disputed_amount_missing,track1_chargebacks.json,BOOLEAN,Flag for unrecorded/missing dispute amount,True when original amount was null or missing,Financial data quality tracking
reason_code,track1_chargebacks.json,VARCHAR,Categorized complaint reason,Trimmed and title-cased,Root cause of customer dispute
severity,track1_chargebacks.json,VARCHAR,Dispute urgency and loss severity,Mapped to CRITICAL HIGH MEDIUM LOW based on dispute reason,Priority level for fraud response teams
resolution_status,track1_chargebacks.json,VARCHAR,Dispute lifecycle resolution status,Mapped to RESOLVED IN_PROGRESS REJECTED PENDING_BANK,Current legal/banking dispute state
reporting_delay_days,track1_chargebacks.json,DOUBLE,Days elapsed between transaction and report,Computed delta (reported_timestamp - txn_timestamp),Account takeover / delayed discovery indicator
is_unmatched_transaction,track1_chargebacks.json,BOOLEAN,Referential integrity flag for unlinked transaction,Foreign key validation check,Dispute referential integrity indicator
risk_score,Analytical Layer,DOUBLE,Explainable entity risk score (0-100),Computed by Multi-Factor Explainable Risk Engine,Consolidated fraud likelihood index
risk_level,Analytical Layer,VARCHAR,Categorical risk classification,Threshold-based (HIGH: >=60, MEDIUM: 35-59, LOW: <35),Actionable triage tier for fraud operations
risk_factors,Analytical Layer,VARCHAR,Transparent list of flagged signals,Generated during risk scoring evaluation,Audit trail and explanation for investigators
